id,sender,subject,content,category,is_relevant,timestamp
40,promocoes@loja.com,50% OFF em todos os produtos!,"🎉 50% OFF em todos os produtos! 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-23T21:51:10.389667
41,joao@hotmail.com,Lembrete: consulta médica,"Olá querido(a),

Lembrete: lembrete: consulta médica

Nos vemos em breve!

Com carinho,
Bruna",pessoal,1,2025-06-11T10:34:51.598035
42,gerente@empresa.com,Aprovação de orçamento,"Olá,

Espero que esteja bem. Gostaria de discutir sobre aprovação de orçamento.

Por favor, confirme sua disponibilidade.

Atenciosamente,
Caio Marques",importante,1,2025-06-21T10:24:38.951643
43,newsletter@empresa.com,Promoção relâmpago - Apenas hoje,"Olá!

Promoção relâmpago - Apenas hoje

Válido até 2025-07-26.

Compre agora!",promocional,0,2025-06-09T19:22:28.788527
44,promocoes@loja.com,Oferta especial para você - Revisão de código necessária,"Promoção especial para você!

Oferta especial para você

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-07-02T13:04:48.221595
45,cliente@cliente.com,Cliente solicitou alterações,"Bom dia,

Precisamos alinhar alguns pontos sobre cliente solicitou alterações.

Podemos conversar hoje?

Abraços,
Luiz Otávio Teixeira",importante,1,2025-07-01T03:20:05.071192
46,ofertas@marketplace.com,Liquidação de fim de estoque,"Olá!

Liquidação de fim de estoque

Válido até 2025-07-23.

Compre agora!",promocional,0,2025-06-30T06:56:25.466420
47,maria@gmail.com,Que tal um almoço amanhã?,"Oi!

Tudo bem? que tal um almoço amanhã?

Me avisa se pode!

Abraços,
Nina",pessoal,1,2025-06-13T22:28:03.262836
48,promocoes@loja.com,Cupom de desconto exclusivo,"🎉 Cupom de desconto exclusivo 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-23T21:00:40.505635
49,maria@gmail.com,Que tal um almoço amanhã?,"Oi!

Tudo bem? que tal um almoço amanhã?

Me avisa se pode!

Abraços,
Luiz Fernando",pessoal,1,2025-06-15T15:47:18.629294
50,newsletter@empresa.com,Promoção relâmpago - Apenas hoje,"Promoção especial para você!

Promoção relâmpago - Apenas hoje

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-07-06T06:57:23.858706
51,rh@empresa.com,Reunião de projeto amanhã às 14h,"Olá,

Espero que esteja bem. Gostaria de discutir sobre reunião de projeto amanhã às 14h.

Por favor, confirme sua disponibilidade.

Atenciosamente,
Hadassa Rezende",importante,1,2025-06-18T03:48:07.154881
52,premio@sorteio.com,Oferta GRÁTIS por tempo limitado,"PARABÉNS!!!

Oferta GRÁTIS por tempo limitado

Clique no link abaixo AGORA!

www.site-suspeito.com/premio",spam,0,2025-06-12T10:26:07.245566
53,ana@yahoo.com,Reunião de família no domingo,"Oi!

Tudo bem? reunião de família no domingo

Me avisa se pode!

Abraços,
Emanuella",pessoal,1,2025-07-07T11:31:24.295358
54,newsletter@empresa.com,Promoção relâmpago - Apenas hoje,"Olá!

Promoção relâmpago - Apenas hoje

Válido até 2025-08-01.

Compre agora!",promocional,0,2025-06-25T22:28:14.395294
55,joao@hotmail.com,Que tal um almoço amanhã?,"Oi!

Que tal um almoço amanhã?

Espero sua resposta!

Beijos,
Anthony Gabriel",pessoal,1,2025-06-21T06:04:12.674160
56,maria@gmail.com,Lembrete: consulta médica,"Oi!

Lembrete: consulta médica

Espero sua resposta!

Beijos,
Arthur",pessoal,1,2025-06-13T02:56:42.160015
57,newsletter@empresa.com,Cashback de 20% em compras,"🎉 Cashback de 20% em compras 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-16T07:29:58.937173
58,maria@gmail.com,Reunião de família no domingo,"Olá querido(a),

Lembrete: reunião de família no domingo

Nos vemos em breve!

Com carinho,
Ana Laura",pessoal,1,2025-06-13T14:03:23.808944
59,ana@yahoo.com,Fotos das férias em família,"Oi!

Tudo bem? fotos das férias em família

Me avisa se pode!

Abraços,
Olívia",pessoal,1,2025-06-24T04:27:58.472544
60,ana@yahoo.com,Convite para aniversário no sábado - Deadline do projeto movido,"Oi!

Convite para aniversário no sábado

Espero sua resposta!

Beijos,
Milena",pessoal,1,2025-06-20T16:03:24.522372
61,projeto@empresa.com,Revisão de código necessária,"Prezado(a),

Segue em anexo os documentos relacionados a revisão de código necessária.

Qualquer dúvida, estou à disposição.

Cordialmente,
Dr. Daniel Vasconcelos",importante,1,2025-07-06T13:14:05.290380
62,naoresponda@spam.com,Sorteio de iPhone - Você foi sorteado!,"Você foi SELECIONADO!

Sorteio de iPhone - Você foi sorteado!

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-06-15T00:06:05.407275
63,ana@yahoo.com,Lembrete: consulta médica,"Oi!

Lembrete: consulta médica

Espero sua resposta!

Beijos,
João",pessoal,1,2025-06-22T10:46:51.233581
64,joao@hotmail.com,Que tal um almoço amanhã?,"Oi!

Que tal um almoço amanhã?

Espero sua resposta!

Beijos,
Valentina",pessoal,1,2025-06-10T17:22:40.316007
65,promocoes@loja.com,Liquidação de fim de estoque - Aprovação de orçamento,"Olá!

Liquidação de fim de estoque

Válido até 2025-07-18.

Compre agora!",promocional,0,2025-06-27T16:59:55.687443
66,rh@empresa.com,Feedback sobre apresentação,"Prezado(a),

Segue em anexo os documentos relacionados a feedback sobre apresentação.

Qualquer dúvida, estou à disposição.

Cordialmente,
Pedro Henrique Pimenta",importante,1,2025-06-20T09:55:01.582777
67,joao@hotmail.com,Lembrete: consulta médica,"Oi!

Lembrete: consulta médica

Espero sua resposta!

Beijos,
Sara",pessoal,1,2025-07-02T04:11:25.321032
68,premio@sorteio.com,Sorteio de iPhone - Você foi sorteado!,"PARABÉNS!!!

Sorteio de iPhone - Você foi sorteado!

Clique no link abaixo AGORA!

www.site-suspeito.com/premio",spam,0,2025-06-14T04:47:32.256456
69,maria@gmail.com,Lembrete: consulta médica,"Oi!

Lembrete: consulta médica

Espero sua resposta!

Beijos,
Nina",pessoal,1,2025-06-17T11:53:18.116643
70,gerente@empresa.com,Revisão de código necessária,"Prezado(a),

Segue em anexo os documentos relacionados a revisão de código necessária.

Qualquer dúvida, estou à disposição.

Cordialmente,
Calebe das Neves",importante,1,2025-06-27T19:15:54.939271
71,joao@hotmail.com,Convite para aniversário no sábado,"Olá querido(a),

Lembrete: convite para aniversário no sábado

Nos vemos em breve!

Com carinho,
Marcelo",pessoal,1,2025-07-08T13:20:22.186306
72,gerente@empresa.com,Contrato para revisão urgente,"Olá,

Espero que esteja bem. Gostaria de discutir sobre contrato para revisão urgente.

Por favor, confirme sua disponibilidade.

Atenciosamente,
Luísa Freitas",importante,1,2025-06-12T13:06:40.130645
73,gerente@empresa.com,Entrega do relatório mensal,"Olá,

Espero que esteja bem. Gostaria de discutir sobre entrega do relatório mensal.

Por favor, confirme sua disponibilidade.

Atenciosamente,
Davi Miguel Moura",importante,1,2025-07-01T05:56:45.530211
74,joao@hotmail.com,Convite para aniversário no sábado,"Oi!

Convite para aniversário no sábado

Espero sua resposta!

Beijos,
Yago",pessoal,1,2025-07-08T15:40:02.198721
75,naoresponda@spam.com,PARABÉNS! Você ganhou R$ 10.000!,"PARABÉNS!!!

PARABÉNS! Você ganhou R$ 10.000!

Clique no link abaixo AGORA!

www.site-suspeito.com/premio",spam,0,2025-07-04T06:06:43.576750
76,maria@gmail.com,Reunião de família no domingo,"Olá querido(a),

Lembrete: reunião de família no domingo

Nos vemos em breve!

Com carinho,
Laura",pessoal,1,2025-06-21T16:20:02.182396
77,ana@yahoo.com,Lembrete: consulta médica,"Olá querido(a),

Lembrete: lembrete: consulta médica

Nos vemos em breve!

Com carinho,
Pietro",pessoal,1,2025-07-07T15:43:40.345983
78,maria@gmail.com,Convite para aniversário no sábado - Você foi selecionado para um prêmio,"Oi!

Convite para aniversário no sábado

Espero sua resposta!

Beijos,
Bruno",pessoal,1,2025-06-25T23:22:15.005135
79,joao@hotmail.com,Que tal um almoço amanhã?,"Olá querido(a),

Lembrete: que tal um almoço amanhã?

Nos vemos em breve!

Com carinho,
Clara",pessoal,1,2025-07-01T23:13:34.600527
80,promocoes@loja.com,Cupom de desconto exclusivo,"🎉 Cupom de desconto exclusivo 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-23T04:09:21.250008
81,cliente@cliente.com,Reunião de projeto amanhã às 14h,"Bom dia,

Precisamos alinhar alguns pontos sobre reunião de projeto amanhã às 14h.

Podemos conversar hoje?

Abraços,
Caleb Moraes",importante,1,2025-06-12T17:34:13.675749
82,rh@empresa.com,Contrato para revisão urgente,"Prezado(a),

Segue em anexo os documentos relacionados a contrato para revisão urgente.

Qualquer dúvida, estou à disposição.

Cordialmente,
Heitor da Paz",importante,1,2025-06-22T09:20:38.564454
83,ganhe@dinheiro.com,Você foi selecionado para um prêmio,"PARABÉNS!!!

Você foi selecionado para um prêmio

Clique no link abaixo AGORA!

www.site-suspeito.com/premio",spam,0,2025-07-01T05:25:46.679996
84,gerente@empresa.com,Revisão de código necessária,"Prezado(a),

Segue em anexo os documentos relacionados a revisão de código necessária.

Qualquer dúvida, estou à disposição.

Cordialmente,
Luiz Felipe Rios",importante,1,2025-06-16T11:28:29.750087
85,naoresponda@spam.com,PARABÉNS! Você ganhou R$ 10.000!,"Você foi SELECIONADO!

PARABÉNS! Você ganhou R$ 10.000!

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-06-18T09:21:52.946522
86,joao@hotmail.com,Que tal um almoço amanhã?,"Oi!

Que tal um almoço amanhã?

Espero sua resposta!

Beijos,
Daniel",pessoal,1,2025-07-04T18:41:50.662967
87,promocoes@loja.com,Promoção relâmpago - Apenas hoje,"Promoção especial para você!

Promoção relâmpago - Apenas hoje

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-06-18T18:58:05.649563
88,newsletter@empresa.com,Promoção relâmpago - Apenas hoje,"🎉 Promoção relâmpago - Apenas hoje 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-30T06:42:23.484601
89,projeto@empresa.com,Deadline do projeto movido,"Bom dia,

Precisamos alinhar alguns pontos sobre deadline do projeto movido.

Podemos conversar hoje?

Abraços,
Henrique Andrade",importante,1,2025-06-15T03:19:59.587389
90,premio@sorteio.com,Você foi selecionado para um prêmio,"Você foi SELECIONADO!

Você foi selecionado para um prêmio

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-06-27T15:46:30.970933
91,maria@gmail.com,Fotos das férias em família,"Oi!

Fotos das férias em família

Espero sua resposta!

Beijos,
Enzo",pessoal,1,2025-06-28T05:01:29.412658
92,rh@empresa.com,Deadline do projeto movido,"Bom dia,

Precisamos alinhar alguns pontos sobre deadline do projeto movido.

Podemos conversar hoje?

Abraços,
Gabrielly Ramos",importante,1,2025-06-24T14:32:58.501014
93,promocoes@loja.com,Cashback de 20% em compras - Reunião de família no domingo,"🎉 Cashback de 20% em compras 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-10T16:00:49.813934
94,promocoes@loja.com,Cupom de desconto exclusivo,"Promoção especial para você!

Cupom de desconto exclusivo

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-06-21T22:38:31.459720
95,projeto@empresa.com,Revisão de código necessária,"Olá,

Espero que esteja bem. Gostaria de discutir sobre revisão de código necessária.

Por favor, confirme sua disponibilidade.

Atenciosamente,
Luísa Araújo",importante,1,2025-06-22T22:16:59.115584
96,promocoes@loja.com,Oferta especial para você,"Promoção especial para você!

Oferta especial para você

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-06-17T00:54:14.194321
97,promocoes@loja.com,Cashback de 20% em compras,"Olá!

Cashback de 20% em compras

Válido até 2025-07-09.

Compre agora!",promocional,0,2025-06-27T02:13:33.865291
98,ganhe@dinheiro.com,Clique aqui para receber seu prêmio,"Você foi SELECIONADO!

Clique aqui para receber seu prêmio

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-07-08T03:19:15.851370
99,newsletter@empresa.com,50% OFF em todos os produtos!,"🎉 50% OFF em todos os produtos! 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-07-08T04:02:15.087267
100,cliente@cliente.com,Reunião de projeto amanhã às 14h,"Olá,

Espero que esteja bem. Gostaria de discutir sobre reunião de projeto amanhã às 14h.

Por favor, confirme sua disponibilidade.

Atenciosamente,
Nicole Fernandes",importante,1,2025-06-15T18:04:50.463582
101,joao@hotmail.com,Lembrete: consulta médica,"Oi!

Tudo bem? lembrete: consulta médica

Me avisa se pode!

Abraços,
Bianca",pessoal,1,2025-07-05T18:02:03.830683
102,joao@hotmail.com,Convite para aniversário no sábado,"Oi!

Tudo bem? convite para aniversário no sábado

Me avisa se pode!

Abraços,
Maria Liz",pessoal,1,2025-06-19T09:41:19.331864
103,maria@gmail.com,Que tal um almoço amanhã?,"Oi!

Que tal um almoço amanhã?

Espero sua resposta!

Beijos,
Noah",pessoal,1,2025-06-11T03:16:50.176369
104,ofertas@marketplace.com,Cupom de desconto exclusivo,"Olá!

Cupom de desconto exclusivo

Válido até 2025-07-25.

Compre agora!",promocional,0,2025-07-05T14:20:21.293964
105,projeto@empresa.com,Proposta comercial - Prazo até sexta,"Bom dia,

Precisamos alinhar alguns pontos sobre proposta comercial - prazo até sexta.

Podemos conversar hoje?

Abraços,
Henry Gabriel Nunes",importante,1,2025-06-15T07:00:09.283700
106,ganhe@dinheiro.com,Clique aqui para receber seu prêmio,"Você foi SELECIONADO!

Clique aqui para receber seu prêmio

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-06-24T08:19:20.757374
107,promocoes@loja.com,Cashback de 20% em compras,"Promoção especial para você!

Cashback de 20% em compras

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-07-05T07:42:02.956827
108,newsletter@empresa.com,Oferta especial para você,"Olá!

Oferta especial para você

Válido até 2025-07-22.

Compre agora!",promocional,0,2025-06-20T13:09:34.985917
109,naoresponda@spam.com,Oferta GRÁTIS por tempo limitado - Ganhe dinheiro trabalhando em casa,"Você foi SELECIONADO!

Oferta GRÁTIS por tempo limitado

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-06-26T13:58:15.461176
110,naoresponda@spam.com,Você foi selecionado para um prêmio - Cashback de 20% em compras,"🚨 URGENTE 🚨

Você foi selecionado para um prêmio

Não perca esta chance única!

Confirme seus dados: site-falso.com",spam,0,2025-06-13T16:05:19.082822
111,projeto@empresa.com,Revisão de código necessária,"Olá,

Espero que esteja bem. Gostaria de discutir sobre revisão de código necessária.

Por favor, confirme sua disponibilidade.

Atenciosamente,
Valentina Melo",importante,1,2025-06-30T04:46:53.800895
112,premio@sorteio.com,Ganhe dinheiro trabalhando em casa,"PARABÉNS!!!

Ganhe dinheiro trabalhando em casa

Clique no link abaixo AGORA!

www.site-suspeito.com/premio",spam,0,2025-06-22T13:45:14.421492
113,ofertas@marketplace.com,Liquidação de fim de estoque,"Promoção especial para você!

Liquidação de fim de estoque

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-06-29T16:23:33.634365
114,gerente@empresa.com,Contrato para revisão urgente,"Bom dia,

Precisamos alinhar alguns pontos sobre contrato para revisão urgente.

Podemos conversar hoje?

Abraços,
Maria Clara Guerra",importante,1,2025-06-19T00:42:58.878719
115,cliente@cliente.com,Reunião de projeto amanhã às 14h,"Prezado(a),

Segue em anexo os documentos relacionados a reunião de projeto amanhã às 14h.

Qualquer dúvida, estou à disposição.

Cordialmente,
Camila Costa",importante,1,2025-07-04T10:29:22.428545
116,newsletter@empresa.com,Cupom de desconto exclusivo,"Olá!

Cupom de desconto exclusivo

Válido até 2025-08-07.

Compre agora!",promocional,0,2025-06-28T09:47:11.022868
117,promocoes@loja.com,Promoção relâmpago - Apenas hoje,"🎉 Promoção relâmpago - Apenas hoje 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-07-05T19:27:10.742600
118,cliente@cliente.com,Contrato para revisão urgente,"Prezado(a),

Segue em anexo os documentos relacionados a contrato para revisão urgente.

Qualquer dúvida, estou à disposição.

Cordialmente,
Eduarda Vieira",importante,1,2025-06-11T00:16:46.655462
119,ganhe@dinheiro.com,Sorteio de iPhone - Você foi sorteado!,"PARABÉNS!!!

Sorteio de iPhone - Você foi sorteado!

Clique no link abaixo AGORA!

www.site-suspeito.com/premio",spam,0,2025-06-19T04:31:30.472373
120,promocoes@loja.com,Cashback de 20% em compras,"Promoção especial para você!

Cashback de 20% em compras

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-06-14T23:18:39.214540
121,promocoes@loja.com,Black Friday chegou - Até 70% de desconto,"🎉 Black Friday chegou - Até 70% de desconto 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-20T02:06:08.642876
122,ganhe@dinheiro.com,Sorteio de iPhone - Você foi sorteado!,"Você foi SELECIONADO!

Sorteio de iPhone - Você foi sorteado!

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-06-19T11:53:13.501657
123,projeto@empresa.com,Revisão de código necessária,"Olá,

Espero que esteja bem. Gostaria de discutir sobre revisão de código necessária.

Por favor, confirme sua disponibilidade.

Atenciosamente,
Luiz Gustavo Moura",importante,1,2025-06-12T03:48:28.499281
124,ofertas@marketplace.com,Cupom de desconto exclusivo,"Olá!

Cupom de desconto exclusivo

Válido até 2025-07-17.

Compre agora!",promocional,0,2025-07-03T05:19:52.819747
125,newsletter@empresa.com,50% OFF em todos os produtos!,"🎉 50% OFF em todos os produtos! 🎉

Não perca esta oportunidade única!

Visite nossa loja online e aproveite.

Equipe de Marketing",promocional,0,2025-06-23T16:41:16.489924
126,joao@hotmail.com,Parabéns pelo novo emprego!,"Olá querido(a),

Lembrete: parabéns pelo novo emprego!

Nos vemos em breve!

Com carinho,
Brayan",pessoal,1,2025-06-20T06:58:02.781554
127,joao@hotmail.com,Reunião de família no domingo,"Oi!

Tudo bem? reunião de família no domingo

Me avisa se pode!

Abraços,
Manuela",pessoal,1,2025-07-06T23:03:12.526438
128,ganhe@dinheiro.com,Você foi selecionado para um prêmio,"Você foi SELECIONADO!

Você foi selecionado para um prêmio

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-06-12T04:38:47.298757
129,naoresponda@spam.com,Ganhe dinheiro trabalhando em casa,"Você foi SELECIONADO!

Ganhe dinheiro trabalhando em casa

Rápido! Oferta por tempo limitado!

Clique aqui: link-perigoso.com",spam,0,2025-07-01T22:40:23.823154
130,newsletter@empresa.com,Promoção relâmpago - Apenas hoje,"Olá!

Promoção relâmpago - Apenas hoje

Válido até 2025-07-26.

Compre agora!",promocional,0,2025-06-17T17:09:47.226376
131,ofertas@marketplace.com,50% OFF em todos os produtos! - Feedback sobre apresentação,"Olá!

50% OFF em todos os produtos!

Válido até 2025-08-05.

Compre agora!",promocional,0,2025-07-06T01:43:43.095402
132,joao@hotmail.com,Convite para aniversário no sábado,"Oi!

Tudo bem? convite para aniversário no sábado

Me avisa se pode!

Abraços,
Luiz Fernando",pessoal,1,2025-06-30T06:37:16.281254
133,newsletter@empresa.com,Liquidação de fim de estoque,"Promoção especial para você!

Liquidação de fim de estoque

Use o cupom: DESCONTO20

Equipe Comercial",promocional,0,2025-06-17T19:42:00.948040
